,,AUTHOR PLOT NUMBER,184--13,186--13,75?--13,76--13,81--13,117--13,100--13,85--13,86--13,98--13,94--13,97--13,203--15,87--13,91--13,121--13,137A--13,137B--13,129--13,150--13,111--13,113--13,126--13,107--13,108--13,109--13,110--13,124--13,130--13,105--13,123--13,154--13,134--13,135--13,136--13,207--15,88--13,115--13,90--13,101--13,167--13,164--13,163--13,165--13,166--13
,,TURBOVEG PLOT NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASL TAXON SCIENTIFIC NAME NO AUTHOR(S),PASL TAXON SCIENTIFIC NAME WITH AUTHOR(S),DATASET TAXON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex acuta,Carex acuta L.,Carex acuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex aquatilis,Carex aquatilis Wahlenb.,Carex aquatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0
Carex bigelowii,Carex bigelowii Torr.,Carex bigelowii,0,0,0,0,0,0,0,0,0,+,0,0,0,+,+,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex canescens [s. canescens],Carex canescens [s. canescens] L.,Carex canescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+
Carex ericetorum,Carex ericetorum Pollich,Carex ericetorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex salina,Carex salina Wahlenb.,Carex lanceata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+
Carex nigra,Carex nigra (L.) Reichard,Carex nigra,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex vaginata,Carex vaginata Tausch,Carex vaginata,+,0,0,0,+,0,0,0,1,+,0,0,0,+,+,0,+,+,0,0,0,0,0,0,0,0,0,+,0,0,+,0,+,+,+,0,0,0,0,0,+,0,0,0,0
Cerastium alpinum,Cerastium alpinum L.,Cerastium alpinum,0,0,0,0,0,0,0,0,0,0,0,+,0,0,+,0,0,0,0,0,+,+,0,+,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+
Cerastium beeringianum,Cerastium beeringianum Cham. & Schltdl.,Cerastium beeringianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0
Cerastium fontanum s. scandicum,Cerastium fontanum s. fontanum Baumg.,Cerastium scandicum,+,0,0,0,+,0,0,0,+,0,0,0,0,+,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,+,0,0,0,+,+,0,+,+
Cerastium holosteoides,Cerastium fontanum s. vulgare (Hartm.) Greuter & Burdet,Cerastium holosteoides,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratodon purpureus,Ceratodon purpureus (Hedw.) Brid.,Ceratodon purpureus,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cetraria islandica,Cetraria islandica (L.) Ach.,Cetraria islandica,0,0,0,0,+,0,0,+,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamaenerion angustifolium,Chamerion angustifolium (L.) Holub,Chamaenerion angustifolium,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0
Chamaepericlymenum suecicum,Chamaepericlymenum suecicum (L.) Graebn.,Chamaepericlymenum suecicum,0,0,0,0,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,1
Cirsium heterophyllum,Cirsium heterophyllum (L.) Hill,Cirsium heterophyllum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,1,+,0,+,0,+,0,+,+,3,+,0,0,+,0,1,+,0,0,0,0,0,0,+,0,0,0
Cladonia arbuscula s. lat.,Cladonia arbuscula s. lat. (Wallr.) Hale & W.Culb.,Cladonia arbuscula,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climacium dendroides,Climacium dendroides (Hedw.) Web. & D. Mohr,Climacium dendroides,0,0,0,0,0,0,0,1,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comarum palustre,Comarum palustre L.,Comarum palustre,+,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,+,0,0,0
Dactylis glomerata,Dactylis glomerata L.,Dactylis glomerata,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactylorhiza maculata,Dactylorhiza maculata (L.) Soв,Dactylorhiza maculata,0,0,0,0,0,0,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deschampsia cespitosa [s. cespitosa],Deschampsia cespitosa [s. cespitosa] (L.) P. Beauv.,Deschampsia cespitosa,+,+,+,+,+,0,1,+,1,2,0,0,0,1,2,+,0,0,1,2,0,0,+,1,+,2,1,+,+,+,+,1,+,+,+,5,5,4,4,4,5,0,0,0,0
Dianthus deltoides,Dianthus species,Dianthus deltoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dianthus superbus,Dianthus superbus L.,Dianthus superbus,1,+,1,1,+,+,1,1,+,+,+,+,1,+,1,+,+,+,+,+,0,0,0,0,+,0,+,0,0,0,0,+,+,+,+,+,+,0,+,0,0,0,0,+,+
Eleocharis palustris,Eleocharis palustris (L.) Roem. & Schult.,Eleocharis palustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0
Elytrigia repens [s. repens],Elytrigia repens [s. repens] (L.) Desv. ex Nevski,Elytrigia repens,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epilobium palustre,Epilobium palustre L.,Epilobium palustre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,+,0
Equisetum arvense,Equisetum arvense L.,Equisetum arvense,0,0,+,+,0,0,+,0,+,+,0,+,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,+,+,0,0,+
Equisetum pratense,Equisetum pratense Ehrh.,Equisetum pratense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+,+,0,0,0,0,+,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+
Erigeron acris,Erigeron acris L.,Erigeron acris,0,0,0,0,0,0,0,+,0,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuca ovina [s. ovina],Festuca ovina [s. ovina] L.,Festuca ovina,0,1,0,0,1,0,1,0,1,1,1,+,+,4,1,3,0,0,0,0,+,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0
Festuca rubra,Festuca rubra L.,Festuca rubra,1,0,+,+,+,+,1,3,0,+,+,+,0,0,1,2,2,+,0,+,0,+,+,1,0,0,0,+,+,1,1,+,+,1,+,0,0,0,0,+,+,0,3,3,4
Filipendula ulmaria,Filipendula ulmaria (L.) Maxim.,Filipendula ulmaria,0,0,0,0,0,0,+,0,0,+,0,0,0,0,1,0,0,0,2,+,0,+,0,+,0,0,0,0,0,+,0,0,0,0,0,+,+,0,+,2,+,0,+,+,0
Galium boreale,Galium boreale L.,Galium boreale,+,+,+,+,0,2,+,+,0,0,0,+,0,0,+,+,+,+,+,+,+,+,0,+,0,0,+,+,0,+,+,+,2,+,1,0,0,0,0,+,0,0,0,0,0
Galium palustre,Galium palustre L.,Galium palustre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galium uliginosum,Galium uliginosum L.,Galium uliginosum,0,0,0,0,0,+,0,0,0,+,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,+,0,0,0,+,0
Geranium pratense,Geranium pratense L.,Geranium pratense,0,0,0,0,0,0,0,0,0,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geranium sylvaticum [s. sylvaticum],Geranium sylvaticum [s. sylvaticum] L.,Geranium sylvaticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,1,+,4,0,+,+,0,+,+,0,+,3,4,4,4,4,+,0,+,+,0,0,0,0,0,0
