,,AUTHOR PLOT NUMBER,ND_RV_01,ND_RV_02,ND_RV_03,ND_RV_04,ND_RV_05,ND_RV_06,ND_RV_07,ND_RV_08,ND_RV_09,ND_RV_10,ND_RV_11,ND_RV_12,ND_RV_13,ND_RV_14,LA_RV_15,LA_RV_16,LA_RV_17,LA_RV_18,LA_RV_19,LA_RV_20,LA_RV_21,LA_RV_22,LA_RV_23,LA_RV_24,VD_RV_25,VD_RV_26,VD_RV_27,VD_RV_28,VD_RV_29,VD_RV_30,VD_RV_31,VD_RV_32,VD_RV_33,VD_RV_34,VD_RV_35,VD_RV_36,VD_RV_37,VD_RV_38,VD_RV_39,KH_RV_40,KH_RV_41,KH_RV_42,KH_RV_43,KH_RV_44,KH_RV_45,KH_RV_46,KH_RV_47,KH_RV_48,KH_RV_49,BO_RV_49a,BO_RV_49b,BO_RV_50a,BO_RV_50b,BO_RV_51a,BO_RV_51b,BO_RV_52a,BO_RV_52b,BO_RV_53a,BO_RV_53b,BO_RV_54a,BO_RV_54b,BO_RV_55a,BO_RV_55b,BO_RV_56a,BO_RV_56b,BO_RV_57a,BO_RV_57b,BO_RV_58a,BO_RV_58b,KR_RV_60,KR_RV_61,KR_RV_62,KR_RV_63,KR_RV_64,KR_RV_65,KR_RV_66,KR_RV_67,KR_RV_68,KR_RV_69
Calliergon stramineum,10200,Calliergon stramineum (Dicks. ex Brid.) Kindb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Straminergon stramineum,10200,Calliergon stramineum (Dicks. ex Brid.) Kindb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calypogeia sphagnicola,20100,Calypogeia sphagnicola (Arnell & J.Perss.) Warnst. & Loeske,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylium cf. arcticum,10200,Campylium stellatum var. arcticum ((R.S. Williams) L. I. Savicz) (Hedw.) C. Jens.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,+,0,+,0,0,0
Candelariella placodizans,30100,Candelariella placodizans (Nyl.) Magn.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,r,r,0
Cardamine bellidifolia,60200,Cardamine  bellidifolia [subsp. bellidifolia] L. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex aquatilis,50101,Carex aquatilis Wahlenb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex bigelowii s.l.,50101,Carex  bigelowii Torr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,3,2,4,3,3,3,2,2,1,1,2,2,2,2,+,2,1,2,2,2,1,2,2,2,+,+,2,1,3,1,3,1,3,+,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex chordorrhiza,50101,Carex chordorrhiza Ehrh. ex L. f.,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex globularis,50101,Carex globularis L.,0,0,0,0,0,+,+,2,+,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
