occurrenceID,institutionCode,collectionID,collectionCode,catalogNumber,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,dateIdentified,identifiedBy,typeStatus,continent,country,stateProvince,locality,decimalLatitude,decimalLongitude,coordinatePrecision,verbatimElevation,basisOfRecord,eventDate,year,month,day,habitat,fieldNumber,recordedBy,taxonRemarks
1124,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,"Egin-Jay, right side of Pum River",40.074,72.169,,,HerbariumSpecimen,5/25/1963,1963,5,25,,,Aidarova & Ubukeeva ,
1125,FRU,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,"Egin-Jay, right side of Pum River",40.074,72.169,,,HerbariumSpecimen,5/25/1963,1963,5,25,,,Aidarova & Ubukeeva ,
1126,FRU,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Chauvay,40.135,72.147,,,HerbariumSpecimen,7/2/1960,1960,7,2,,,V. Janaeva,
1127,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Katta-Karagandy,39.979,72.119,,,HerbariumSpecimen,8/21/1975,1975,8,21,,,Aidarova & Sudnitsyna,
1128,FRU,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Katta-Karagandy,39.979,72.119,,,HerbariumSpecimen,8/21/1975,1975,8,21,,,Aidarova & Sudnitsyna,
1129,LE,,,,,,,,Asteraceae,Anaphalis,,virgata,,Anaphalis virgata,C. B. Clarke,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Batken Region,Sürmö-Tash River,39.385,72.046,,,HerbariumSpecimen,6/12/1913,1913,6,12,,993,N. Desiatova,
1130,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,"Kojo-Ata River, N side of Kelty-Say",41.75,71.98,,,HerbariumSpecimen,9/11/1927,1927,9,11,walnut forest,229,N. Dzens-Litowska,
1131,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Osh Region,"Kara-Kulja River, Ak-Tash",41.86,71.977,,,HerbariumSpecimen,8/24/1983,1983,8,24,,,Aidarova,
1132,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,"right side of Aflatun, opposite to headquarters of Arkyt collective farms",41.62,71.96,,,HerbariumSpecimen,9/8/1945,1945,9,8,,,O. Knorring & A. Pyataeva ,
1133,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,"along Aflatun River, 6 km S of Aslam-Buka river",41.693,71.874,,,HerbariumSpecimen,9/3/1931,1931,9,3,,466,O. von Knorring & L. Emme,
