"observation_id","occurrence_id","name_submitted","family","genus","latitude","longitude","decimalLatitude","decimalLongitude","country","country_code","state_province","county_parish","municipality","country_raw","state_province_raw","county_raw","municipality_raw","political_units_raw","locality","verbatim_locality","locality_notes","island","island_group","water_body","date_collected","event_year","event_month","event_day","collector","catalog_number","record_number","basis_of_record","occurrence_status","establishment_means","verbatim_elevation","elevation_m","elevation_min_m","elevation_max_m","coordinate_uncertainty_m","geodetic_datum","georeference_remarks","habitat","occurrence_remarks","source_citation","source_url","source_file","source_sheet","original_row_number","taxon_scrub_status","tnrs_matched_name","gnrs_status","gvs_status","nsr_native_status"
"gosline_2023_21","20812","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,"01/10/1954",,,54,"Schnell, R","P01417558","7350","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",21,"UNRESOLVED",,,,
"gosline_2023_22","3706","MaterialCitation",,,8.53,-8.91,8.53,-8.91,,"GN",,,,,,,,"countryCode=GN",,,,,,,"09/09/2011",,,11,"Jongkind, CCH","WAG.1722791","11056","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",22,"UNRESOLVED",,,,
"gosline_2023_23","26068","MaterialCitation",,,7.66,-8.38,7.66,-8.38,,"GN",,,,,,,,"countryCode=GN",,,,,,,"02/02/2012",,,12,"Mas, C","MO-2453207","1146","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",23,"UNRESOLVED",,,,
"gosline_2023_24","19571","MaterialCitation",,,7.66,-8.37,7.66,-8.37,,"GN",,,,,,,,"countryCode=GN",,,,,,,"22/06/2007",,,7,"Jongkind, CCH","WAG.1728140","7794","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",24,"UNRESOLVED",,,,
"gosline_2023_25","19046","MaterialCitation",,,7.98,-9.12,7.98,-9.12,,"GN",,,,,,,,"countryCode=GN",,,,,,,"07/05/2011",,,11,"Jongkind, CCH","WAG.1728469","10663","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",25,"UNRESOLVED",,,,
"gosline_2023_26","11453","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,,,,,"Berhaut","Berhaut","s.n.","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",26,"UNRESOLVED",,,,
"gosline_2023_27","19323","MaterialCitation",,,7.67,-8.37,7.67,-8.37,,"GN",,,,,,,,"countryCode=GN",,,,,,,"26/09/2011",,,11,"Jongkind, CCH","WAG.1671109","11207","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",27,"UNRESOLVED",,,,
"gosline_2023_28","24038","MaterialCitation",,,7.65,-8.37,7.65,-8.37,,"GN",,,,,,,,"countryCode=GN",,,,,,,"01/12/2007",,,7,"Nimba Botanic Team","WAG.1739365","JR 1038","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",28,"UNRESOLVED",,,,
"gosline_2023_29","13280","MaterialCitation",,,11.16,-13.92,11.16,-13.92,,"GN",,,,,,,,"countryCode=GN",,,,,,,"20/11/2013",,,13,"Lopez Poveda, L","K001074047","252","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",29,"UNRESOLVED",,,,
"gosline_2023_30","28728","MaterialCitation",,,7.59368,-8.46358,7.59368,-8.46358,,"GN",,,,,,,,"countryCode=GN",,,,,,,"11/10/2019",,,19,"Bidault, E","MO:Tropicos:101172286","4806","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",30,"UNRESOLVED",,,,
"gosline_2023_31","17863","MaterialCitation",,,7.98,-9.12,7.98,-9.12,,"GN",,,,,,,,"countryCode=GN",,,,,,,"12/05/2011",,,11,"Jongkind, CCH","WAG.1358008","10772","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",31,"UNRESOLVED",,,,
"gosline_2023_32","15162","MaterialCitation",,,7.72,-8.38,7.72,-8.38,,"GN",,,,,,,,"countryCode=GN",,,,,,,"03/02/2012",,,12,"Bidault, E","P00853555","205","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",32,"UNRESOLVED",,,,
"gosline_2023_33","17906","MaterialCitation",,,7.68,-8.44,7.68,-8.44,,"GN",,,,,,,,"countryCode=GN",,,,,,,"18/10/2012",,,12,"Jongkind, CCH","WAG.1488192","11499","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",33,"UNRESOLVED",,,,
"gosline_2023_34","16237","MaterialCitation",,,7.67,-8.78,7.67,-8.78,,"GN",,,,,,,,"countryCode=GN",,,,,,,"24/02/1949",,,49,"Adam, J-G","P00636177","3836","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",34,"UNRESOLVED",,,,
