freq	dB(S(2,1))
6.02490000000000059E9	-2.50997759450198155E2
6.02494999999999958E9	-2.50986985831454890E2
6.02500000000000036E9	-2.50976206695820858E2
6.02505000000000024E9	-2.50965422042423381E2
6.02510000000000012E9	-2.50954631870386269E2
6.02515000000000001E9	-2.50943836178829383E2
6.02519999999999989E9	-2.50933034966868451E2
6.02524999999999977E9	-2.50922228233615563E2
6.02529999999999966E9	-2.50911415978179253E2
6.02535000000000132E9	-2.50900598199664104E2
6.02539999999999942E9	-2.50889774897170836E2
6.02544999999999931E9	-2.50878946069796260E2
6.02549999999999919E9	-2.50868111716633857E2
6.02555000000000085E9	-2.50857271836772977E2
6.02560000000000073E9	-2.50846426429298885E2
6.02564999999999973E9	-2.50835575493293828E2
6.02569999999999872E9	-2.50824719027835474E2
6.02575000000000038E9	-2.50813857031997944E2
6.02580000000000027E9	-2.50802989504851670E2
6.02585000000000015E9	-2.50792116445463398E2
6.02589999999999915E9	-2.50781237852896099E2
6.02594999999999992E9	-2.50770353726208484E2
6.02600000000000069E9	-2.50759464064455706E2
6.02604999999999968E9	-2.50748568866689414E2
6.02610000000000046E9	-2.50737668131956992E2
6.02614999999999945E9	-2.50726761859302316E2
6.02620000000000022E9	-2.50715850047765221E2
6.02625000000000011E9	-2.50704932696382343E2
6.02629999999999999E9	-2.50694009804186058E2
6.02634999999999987E9	-2.50683081370204830E2
6.02639999999999976E9	-2.50672147393463396E2
6.02644999999999964E9	-2.50661207872983205E2
6.02650000000000041E9	-2.50650262807780999E2
6.02654999999999941E9	-2.50639312196870190E2
6.02660000000000018E9	-2.50628356039261169E2
6.02664999999999917E9	-2.50617394333959265E2
6.02669999999999995E9	-2.50606427079966743E2
6.02674999999999983E9	-2.50595454276281915E2
6.02680000000000060E9	-2.50584475921899053E2
6.02685000000000048E9	-2.50573492015809052E2
6.02689999999999948E9	-2.50562502556998767E2
6.02694999999999936E9	-2.50551507544450969E2
6.02700000000000014E9	-2.50540506977145849E2
6.02705000000000091E9	-2.50529500854058229E2
6.02709999999999990E9	-2.50518489174160264E2
6.02714999999999890E9	-2.50507471936419535E2
6.02720000000000056E9	-2.50496449139800514E2
6.02725000000000044E9	-2.50485420783263413E2
6.02730000000000032E9	-2.50474386865764753E2
6.02735000000000021E9	-2.50463347386257862E2
6.02740000000000009E9	-2.50452302343691224E2
6.02744999999999997E9	-2.50441251737010351E2
6.02749999999999986E9	-2.50430195565156355E2
6.02754999999999974E9	-2.50419133827067375E2
6.02759999999999962E9	-2.50408066521676975E2
6.02764999999999951E9	-2.50396993647915167E2
6.02770000000000028E9	-2.50385915204708365E2
6.02774999999999928E9	-2.50374831190979297E2
6.02780000000000005E9	-2.50363741605646517E2
6.02785000000000082E9	-2.50352646447624938E2
6.02789999999999981E9	-2.50341545715825786E2
6.02794999999999970E9	-2.50330439409156424E2
6.02799999999999958E9	-2.50319327526520574E2
6.02805000000000035E9	-2.50308210066817738E2
6.02810000000000024E9	-2.50297087028944087E2
6.02814999999999923E9	-2.50285958411792064E2
6.02820000000000000E9	-2.50274824214250291E2
6.02825000000000077E9	-2.50263684435203126E2
6.02829999999999977E9	-2.50252539073531555E2
6.02835000000000054E9	-2.50241388128112696E2
6.02839999999999954E9	-2.50230231597820030E2
6.02845000000000031E9	-2.50219069481522949E2
6.02850000000000019E9	-2.50207901778087649E2
6.02855000000000008E9	-2.50196728486375797E2
6.02859999999999996E9	-2.50185549605245994E2
6.02865000000000073E9	-2.50174365133552268E2
6.02869999999999973E9	-2.50163175070145805E2
6.02875000000000050E9	-2.50151979413873304E2
6.02879999999999949E9	-2.50140778163577915E2
6.02885000000000026E9	-2.50129571318098787E2
6.02890000000000015E9	-2.50118358876272051E2
6.02895000000000003E9	-2.50107140836929531E2
6.02899999999999991E9	-2.50095917198899009E2
6.02904999999999980E9	-2.50084687961004848E2
6.02910000000000146E9	-2.50073453122067857E2
6.02914999999999957E9	-2.50062212680904539E2
6.02919999999999945E9	-2.50050966636327665E2
6.02924999999999933E9	-2.50039714987147121E2
6.02930000000000099E9	-2.50028457732167952E2
6.02935000000000088E9	-2.50017194870192139E2
6.02939999999999987E9	-2.50005926400017486E2
6.02944999999999887E9	-2.49994652320438160E2
6.02950000000000053E9	-2.49983372630244638E2
6.02955000000000041E9	-2.49972087328223580E2
6.02960000000000029E9	-2.49960796413157560E2
6.02964999999999929E9	-2.49949499883826531E2
6.02970000000000006E9	-2.49938197739005119E2
6.02974999999999994E9	-2.49926889977465549E2
6.02979999999999983E9	-2.49915576597975209E2
6.02985000000000060E9	-2.49904257599298685E2
6.02989999999999959E9	-2.49892932980195992E2
6.02995000000000037E9	-2.49881602739423281E2
6.02999999999999936E9	-2.49870266875734526E2
6.03005000000000013E9	-2.49858925387878239E2
6.03010000000000002E9	-2.49847578274599957E2
6.03014999999999990E9	-2.49836225534641088E2
6.03019999999999978E9	-2.49824867166739484E2
6.03024999999999967E9	-2.49813503169629580E2
