"paper_id","doi","citation","source_url","source_file","source_sheet","original_row_number","occurrenceID","scientificName","scientificNameAuthorship","family","genus","basisOfRecord","occurrenceStatus","establishmentMeans","recordedBy","catalogNumber","recordNumber","locality","verbatimLocality","localityNotes","country","countryCode","stateProvince","county","municipality","island","islandGroup","waterBody","politicalUnitsRaw","decimalLatitude","decimalLongitude","verbatimLatitude","verbatimLongitude","coordinateUncertaintyInMeters","geodeticDatum","georeferenceRemarks","verbatimElevation","minimumElevationInMeters","maximumElevationInMeters","elevation","habitat","habit","eventDate","eventYear","eventMonth","eventDay","occurrenceRemarks","sourceProvenance"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",21,"20812","MaterialCitation",,,,"preservedspecimen",,,"Schnell, R","P01417558","7350",,,,,"GN",,,,,,,"countryCode=GN",,,,,,,,,,,,,,"01/10/1954",,,54,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",22,"3706","MaterialCitation",,,,"preservedspecimen",,,"Jongkind, CCH","WAG.1722791","11056",,,,,"GN",,,,,,,"countryCode=GN",8.53,-8.91,"8.53","-8.91",,,,,,,,,,"09/09/2011",,,11,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",23,"26068","MaterialCitation",,,,"preservedspecimen",,,"Mas, C","MO-2453207","1146",,,,,"GN",,,,,,,"countryCode=GN",7.66,-8.38,"7.66","-8.38",,,,,,,,,,"02/02/2012",,,12,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",24,"19571","MaterialCitation",,,,"preservedspecimen",,,"Jongkind, CCH","WAG.1728140","7794",,,,,"GN",,,,,,,"countryCode=GN",7.66,-8.37,"7.66","-8.37",,,,,,,,,,"22/06/2007",,,7,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",25,"19046","MaterialCitation",,,,"preservedspecimen",,,"Jongkind, CCH","WAG.1728469","10663",,,,,"GN",,,,,,,"countryCode=GN",7.98,-9.12,"7.98","-9.12",,,,,,,,,,"07/05/2011",,,11,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",26,"11453","MaterialCitation",,,,"preservedspecimen",,,"Berhaut","Berhaut","s.n.",,,,,"GN",,,,,,,"countryCode=GN",,,,,,,,,,,,,,,,,,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",27,"19323","MaterialCitation",,,,"preservedspecimen",,,"Jongkind, CCH","WAG.1671109","11207",,,,,"GN",,,,,,,"countryCode=GN",7.67,-8.37,"7.67","-8.37",,,,,,,,,,"26/09/2011",,,11,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",28,"24038","MaterialCitation",,,,"preservedspecimen",,,"Nimba Botanic Team","WAG.1739365","JR 1038",,,,,"GN",,,,,,,"countryCode=GN",7.65,-8.37,"7.65","-8.37",,,,,,,,,,"01/12/2007",,,7,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",29,"13280","MaterialCitation",,,,"preservedspecimen",,,"Lopez Poveda, L","K001074047","252",,,,,"GN",,,,,,,"countryCode=GN",11.16,-13.92,"11.16","-13.92",,,,,,,,,,"20/11/2013",,,13,,"gosline_2023_gbif_dwca.zip#occurrence"
"gosline_2023","10.1038/s41597-023-02236-6","Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",30,"28728","MaterialCitation",,,,"preservedspecimen",,,"Bidault, E","MO:Tropicos:101172286","4806",,,,,"GN",,,,,,,"countryCode=GN",7.59368,-8.46358,"7.59368","-8.46358",,,,,,,,,,"11/10/2019",,,19,,"gosline_2023_gbif_dwca.zip#occurrence"
